,date,lower_2_5,lower_25,forecast,upper_75,upper_97_5,macroregion,prob_high,prob_low,HT,LT,HTinc,LTinc
<<<<<<< HEAD
0,2024-01-14,80.18738196752966,110.81284392625093,138.12038299441338,166.6396724805236,240.42789980918167,3106,83.0,0.0,99.8034084738064,34.2113240426674,14.4184782052651,4.94246877562225
1,2024-01-21,80.83534092530607,110.50324964895844,137.3326419442892,164.54290091246367,251.26163565516467,3106,68.0,0.0,119.623805770162,30.8476772224058,17.2819071282582,4.4565267711377
2,2024-01-28,109.39162496030332,134.66103684157133,170.11107006669044,191.57851669192314,277.624256171286,3106,67.0,0.0,144.759759075282,47.897550000321,20.9132680250511,6.91970135415239
3,2024-02-04,93.22454029172658,128.9821477085352,156.89930668473244,181.97197857499123,257.9574927181005,3106,5.0,4.0,242.652169627148,100.628151362187,35.0556666624022,14.5376278169158
4,2024-02-11,117.59325048029422,141.34599494934082,172.89478017389774,198.26768459379673,278.9684444546699,3106,1.0,0.0,285.750097393448,62.8574366740308,41.2819723737303,9.08093816215911
5,2024-02-18,111.52770304419101,152.78478866815567,181.56132017076015,201.19352911412716,269.8861218005418,3106,3.0,0.0,273.234911140278,55.2841162849638,39.4739184907457,7.98682968789883
6,2024-02-25,116.89884613975882,164.82010439783335,189.3259519636631,218.30800759792328,279.55916714072214,3106,6.0,0.0,260.707485038171,66.2836348827168,37.6640963315285,9.57591689038384
7,2024-03-03,118.66320709884167,165.49558655172586,189.93218967318535,215.93199775367975,272.0324430897831,3106,0.0,0.0,308.25157353377,76.8538893061715,44.5327335278514,11.1029888146728
8,2024-03-10,124.15645491331816,166.07091937959194,192.74378496408463,219.38697680085897,264.4475171819329,3106,0.0,0.0,365.089077495062,88.6667429723069,52.7439792622356,12.8095775547944
9,2024-03-17,123.30504953339697,172.41557838767767,195.34640210866928,221.83297660946846,279.0048094153404,3106,0.0,0.0,392.856466318138,83.460214019863,56.7555004786451,12.0573965884941
=======
0,2024-01-07,35.04376261644066,54.96687893383205,66.01836732029915,81.50179168581963,99.886064106971,3106,9.0,2.0,93.2537677510972,33.442809963707,13.472259499343,4.83144247233885
1,2024-01-14,15.149290083535014,42.75592912361026,60.89560532569885,74.767853256315,100.06002025455236,3106,3.0,15.0,99.8034084738064,34.2113240426674,14.4184782052651,4.94246877562225
2,2024-01-21,19.477257998473945,44.42367701791227,62.184629917144775,78.6033638343215,113.51479237675655,3106,3.0,9.0,119.623805770162,30.8476772224058,17.2819071282582,4.4565267711377
3,2024-01-28,12.40616789739579,37.0689905975014,53.538670375943184,67.32262719422579,101.42378698736427,3106,1.0,41.0,144.759759075282,47.897550000321,20.9132680250511,6.91970135415239
4,2024-02-04,10.423459264263512,37.44608264788985,51.75983572751284,66.19626104459167,90.64976507015525,3106,0.0,98.0,242.652169627148,100.628151362187,35.0556666624022,14.5376278169158
5,2024-02-11,22.03668251875788,44.095552464947104,58.370094783604145,70.86311875283718,99.41695180535314,3106,0.0,57.0,285.750097393448,62.8574366740308,41.2819723737303,9.08093816215911
6,2024-02-18,20.497347323130818,46.0818853341043,60.22514346241951,73.00732146576047,96.03258632607758,3106,0.0,43.0,273.234911140278,55.2841162849638,39.4739184907457,7.98682968789883
7,2024-02-25,30.11328138587996,48.80716958642006,63.035124599933624,78.0954236201942,96.92522905021906,3106,0.0,54.0,260.707485038171,66.2836348827168,37.6640963315285,9.57591689038384
8,2024-03-03,27.774498980026692,49.14761488325894,62.02776635438204,74.95932707190514,101.14736185222858,3106,0.0,77.0,308.25157353377,76.8538893061715,44.5327335278514,11.1029888146728
9,2024-03-10,37.62851498164237,53.23748371750116,62.68675473332405,74.44214309379458,95.66727793738245,3106,0.0,91.0,365.089077495062,88.6667429723069,52.7439792622356,12.8095775547944
>>>>>>> a2b9f2e9bfd89b3a8c0701ca921b14166b38a566
