,date,lower_2_5,lower_25,forecast,upper_75,upper_97_5,macroregion,prob_high,prob_low,HT,LT,HTinc,LTinc
0,2024-01-14,232.01154267210512,327.30021694954485,370.00493509694934,470.5557676870376,632.4890908807515,3101,97.0,0.0,228.943578841134,70.7117949782788,8.09566622504828,2.5004374143877
1,2024-01-21,194.06890758685768,292.14305147342384,354.11646050959826,443.3838273510337,605.0256678910924,3101,57.0,1.0,341.605666201359,107.064177698633,12.079506523616,3.78589280247444
2,2024-01-28,173.44876327738166,280.48239525966346,343.83408008143306,447.5038244202733,628.5450239785015,3101,37.0,1.0,393.552775563896,105.970806442964,13.9164065182954,3.74723013811512
3,2024-02-04,160.91713245827705,273.039242698811,351.9235007762909,448.61742559820414,611.5851388471198,3101,18.0,2.0,474.954118794182,145.563989636072,16.7948366904746,5.14728336319823
4,2024-02-11,165.10485689379274,277.3814435005188,353.63248174637556,447.0676196385175,648.4426581570875,3101,6.0,3.0,586.123482896423,165.44380098411,20.7258928519017,5.85025270658531
5,2024-02-18,175.8877651519142,281.94060629513115,363.1024487949908,456.2168433647603,607.4401297308503,3101,0.0,11.0,776.728250512602,223.720228151723,27.4658616570291,7.91096349622797
6,2024-02-25,182.86264729239048,300.20561912003905,377.9157786741853,461.9882901161909,659.2291425600645,3101,0.0,10.0,1000.4952485952,241.471534949674,35.3784789832165,8.53866686149406
7,2024-03-03,199.84410691242664,297.50267648138106,384.9597970582545,454.60939361155033,655.8577773833644,3101,0.0,29.0,1313.05087583923,311.354593581511,46.4307480520255,11.0097993576861
8,2024-03-10,227.78419937910513,331.50887868274003,413.5983710102737,482.09902939014137,665.0463310321792,3101,0.0,40.0,1465.48740542947,374.844379483174,51.8210510704107,13.2548595509502
9,2024-03-17,248.35863367402925,337.8232111223042,407.017650809139,480.48102456331253,634.8704995892941,3101,0.0,73.0,1674.43042017037,477.093389510355,59.2094780180452,16.870483370634
