,date,lower_2_5,lower_25,forecast,upper_75,upper_97_5,macroregion,prob_high,prob_low,HT,LT,HTinc,LTinc
<<<<<<< HEAD
0,2024-01-14,0.0,0.0,0.0,26.954959200695157,78.19379877950995,3110,11.0,57.0,54.2919487830571,8.05932742017394,7.78405977883928,1.15549888744185
1,2024-01-21,0.0,15.050738244317472,37.93764815479517,71.48160326294601,138.69890883192417,3110,10.0,28.0,103.988617648507,16.191602276393,14.9092753942082,2.3214565485254
2,2024-01-28,15.696241529099643,44.635264210402966,69.25847612507641,113.9140553176403,194.28823424782598,3110,24.0,3.0,115.553316711669,15.7502960133711,16.5673538174316,2.25818465629945
3,2024-02-04,34.80053263446316,69.41837846767157,94.86881515197456,146.7244044728577,257.67862901967,3110,13.0,0.0,176.429355926578,25.3858981052143,25.2954016950516,3.63968052022066
4,2024-02-11,40.09897394906729,85.43101980350912,126.59106440842152,177.41972505301237,326.6010941125448,3110,15.0,1.0,212.833287469632,25.4809281212771,30.5147829415825,3.65330536409527
5,2024-02-18,64.3401853860356,108.6001016329974,156.75139950215816,209.81543303467333,382.18302720673336,3110,24.0,1.0,212.522432010916,29.6636833216644,30.4702143171831,4.25300416382276
6,2024-02-25,62.47804132932797,124.54942212440073,182.72955591231585,240.6781633347273,462.76847313046426,3110,23.0,1.0,250.925785648915,22.1672537391066,35.9762609249516,3.17821025226769
7,2024-03-03,75.6535099751316,139.12875651940703,200.79294618219137,260.098128054291,502.0362107049671,3110,18.0,1.0,314.123886555735,27.3041786396228,45.0372323285296,3.91471228251908
8,2024-03-10,79.14457388604059,153.71728002093732,215.30501524358988,273.8757359161973,531.5289924934506,3110,22.0,1.0,301.534593549134,33.4692866042482,43.2322536616506,4.79862914340395
9,2024-03-17,79.85047790436074,167.1452722940594,227.40159955993295,296.75722479075193,577.3488291814922,3110,22.0,1.0,323.633992561236,30.7132159035601,46.4007353028973,4.40347996254496
=======
0,2024-01-07,0.0,0.0,0.1372559666633606,21.92004483472556,76.01630174294114,3110,20.0,60.0,33.4606356394069,6.08024344457897,4.79738881902846,0.871749485943454
1,2024-01-14,0.0,0.0,6.4327720664441586,28.060456280596554,85.44635296314951,3110,8.0,52.0,54.2919487830571,8.05932742017394,7.78405977883928,1.15549888744185
2,2024-01-21,0.0,0.0,0.0,0.0,51.68595566265278,3110,1.0,90.0,103.988617648507,16.191602276393,14.9092753942082,2.3214565485254
3,2024-01-28,0.0,0.0,0.0,15.050688771530986,76.1521937627345,3110,1.0,76.0,115.553316711669,15.7502960133711,16.5673538174316,2.25818465629945
4,2024-02-04,0.0,13.063546992838383,27.67853877134621,45.71396269183606,84.28991065900772,3110,0.0,46.0,176.429355926578,25.3858981052143,25.2954016950516,3.63968052022066
5,2024-02-11,0.0,0.0,0.0,3.788658734411001,62.612063382938494,3110,0.0,87.0,212.833287469632,25.4809281212771,30.5147829415825,3.65330536409527
6,2024-02-18,0.0,0.0,0.0,5.120318097062409,53.67964945491394,3110,0.0,92.0,212.522432010916,29.6636833216644,30.4702143171831,4.25300416382276
7,2024-02-25,0.0,6.596394242718816,19.758914083242416,36.25295894779265,76.88594534955907,3110,0.0,54.0,250.925785648915,22.1672537391066,35.9762609249516,3.17821025226769
8,2024-03-03,0.0,15.236819501034915,26.945138175040483,41.9271970577538,69.40271925441918,3110,0.0,50.0,314.123886555735,27.3041786396228,45.0372323285296,3.91471228251908
9,2024-03-10,0.0,16.035170492716134,29.397061332128942,48.17165566049516,71.69622926227744,3110,0.0,58.0,301.534593549134,33.4692866042482,43.2322536616506,4.79862914340395
>>>>>>> a2b9f2e9bfd89b3a8c0701ca921b14166b38a566
